week,weekday,peak,prob,counts
1,0,17,1.0,2
1,1,17,1.0,2
1,2,17,1.0,1
2,0,17,1.0,2
2,1,9,0.25,1
2,1,17,0.75,3
2,2,9,0.16666667,1
2,2,16,0.16666667,1
2,2,17,0.33333334,2
2,2,18,0.16666667,1
2,2,20,0.16666667,1
2,3,8,0.14285715,1
2,3,17,0.42857143,3
2,3,18,0.2857143,2
2,3,20,0.14285715,1
2,4,9,0.14285715,1
2,4,12,0.14285715,1
2,4,17,0.2857143,2
2,4,18,0.42857143,3
3,0,8,0.125,1
3,0,9,0.125,1
3,0,17,0.5,4
3,0,18,0.25,2
3,1,9,0.125,1
3,1,16,0.125,1
3,1,17,0.5,4
3,1,18,0.125,1
3,1,19,0.125,1
3,2,8,0.125,1
3,2,9,0.125,1
3,2,17,0.25,2
3,2,18,0.25,2
3,2,19,0.25,2
3,3,8,0.125,1
3,3,9,0.125,1
3,3,17,0.5,4
3,3,18,0.25,2
3,4,8,0.375,3
3,4,9,0.125,1
3,4,17,0.375,3
3,4,18,0.125,1
4,0,9,0.375,3
4,0,16,0.125,1
4,0,17,0.375,3
4,0,18,0.125,1
4,1,8,0.25,2
4,1,9,0.25,2
4,1,17,0.25,2
4,1,18,0.125,1
4,1,20,0.125,1
4,2,8,0.25,2
4,2,9,0.25,2
4,2,17,0.5,4
4,3,8,0.125,1
4,3,10,0.125,1
4,3,17,0.5,4
4,3,18,0.125,1
4,3,19,0.125,1
4,4,8,0.25,2
4,4,9,0.25,2
4,4,17,0.375,3
4,4,18,0.125,1
5,0,8,0.375,3
5,0,12,0.125,1
5,0,17,0.375,3
5,0,18,0.125,1
5,1,8,0.375,3
5,1,17,0.375,3
5,1,18,0.125,1
5,1,19,0.125,1
5,2,8,0.375,3
5,2,9,0.25,2
5,2,17,0.25,2
5,2,18,0.125,1
5,3,8,0.125,1
5,3,9,0.125,1
5,3,10,0.125,1
5,3,17,0.375,3
5,3,18,0.25,2
5,4,8,0.625,5
5,4,17,0.375,3
6,0,8,0.125,1
6,0,9,0.125,1
6,0,10,0.125,1
6,0,11,0.125,1
6,0,17,0.25,2
6,0,18,0.25,2
6,1,8,0.125,1
6,1,9,0.25,2
6,1,10,0.125,1
6,1,17,0.375,3
6,1,18,0.125,1
6,2,8,0.25,2
6,2,9,0.125,1
6,2,10,0.25,2
6,2,17,0.25,2
6,2,18,0.125,1
6,3,8,0.5,4
6,3,9,0.125,1
6,3,18,0.375,3
6,4,8,0.125,1
6,4,10,0.125,1
6,4,11,0.125,1
6,4,17,0.125,1
6,4,18,0.5,4
7,0,8,0.375,3
7,0,9,0.25,2
7,0,13,0.125,1
7,0,17,0.25,2
7,1,8,0.25,2
7,1,9,0.125,1
7,1,10,0.125,1
7,1,17,0.125,1
7,1,18,0.25,2
7,1,19,0.125,1
7,2,8,0.125,1
7,2,9,0.125,1
7,2,10,0.25,2
7,2,18,0.375,3
7,2,19,0.125,1
7,3,8,0.125,1
7,3,18,0.5,4
7,3,19,0.25,2
7,3,20,0.125,1
7,4,8,0.25,2
7,4,10,0.125,1
7,4,11,0.125,1
7,4,12,0.125,1
7,4,18,0.375,3
7,5,8,1.0,1
8,0,8,0.14285715,1
8,0,9,0.2857143,2
8,0,12,0.14285715,1
8,0,18,0.14285715,1
8,0,19,0.2857143,2
8,1,8,0.42857143,3
8,1,17,0.14285715,1
8,1,18,0.42857143,3
8,2,8,0.5,4
8,2,18,0.375,3
8,2,19,0.125,1
8,3,8,0.5,3
8,3,9,0.16666667,1
8,3,18,0.33333334,2
8,4,8,0.5,3
8,4,9,0.16666667,1
8,4,18,0.33333334,2
9,0,8,0.42857143,3
9,0,10,0.14285715,1
9,0,12,0.14285715,1
9,0,18,0.14285715,1
9,0,19,0.14285715,1
9,1,8,0.375,3
9,1,9,0.125,1
9,1,10,0.125,1
9,1,18,0.25,2
9,1,19,0.125,1
9,2,8,0.125,1
9,2,9,0.25,2
9,2,11,0.125,1
9,2,19,0.375,3
9,2,20,0.125,1
9,3,8,0.375,3
9,3,9,0.125,1
9,3,13,0.125,1
9,3,18,0.125,1
9,3,19,0.25,2
9,4,8,0.375,3
9,4,9,0.125,1
9,4,18,0.25,2
9,4,19,0.25,2
10,0,8,0.14285715,1
10,0,9,0.2857143,2
10,0,12,0.14285715,1
10,0,18,0.2857143,2
10,0,19,0.14285715,1
10,1,8,0.14285715,1
10,1,19,0.85714287,6
10,2,8,0.42857143,3
10,2,10,0.14285715,1
10,2,18,0.14285715,1
10,2,19,0.14285715,1
10,2,20,0.14285715,1
10,3,8,0.16666667,1
10,3,19,0.8333333,5
10,4,9,0.25,1
10,4,19,0.75,3
10,6,9,1.0,1
11,0,8,0.33333334,2
11,0,9,0.16666667,1
11,0,13,0.16666667,1
11,0,19,0.33333334,2
11,1,8,0.25,2
11,1,9,0.125,1
11,1,19,0.5,4
11,1,20,0.125,1
11,2,8,0.125,1
11,2,9,0.125,1
11,2,10,0.125,1
11,2,19,0.25,2
11,2,20,0.375,3
11,3,9,0.125,1
11,3,19,0.625,5
11,3,20,0.25,2
11,4,10,0.125,1
11,4,12,0.125,1
